State,2022,2021,2020,2019,2018,2017,2017,2016,2015,2014,2013,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
United States,74580,76330,76660,78250,73030,72090,72370,70840,68410,64900,65740,63720,63350,63350,64300,65850,66280,68610,67520,66780,65760,65860,65820,66360,67470
Alabama,59910,61390,61650,64010,57720,59980,60270,56660,53880,51140,58050,50770,53970,53900,53420,52890,58600,57660,53170,53550,54330,56640,58360,55250,56920
Alaska,89740,87490,84260,89290,79450,91960,85170,90860,90920,81800,88910,75000,79030,72690,75490,81490,84310,86040,79030,80570,81670,78810,81910,90140,84920
Arizona,73450,76370,75620,80500,71990,70390,72080,68510,63250,59580,64540,62080,58410,61540,61200,60510,61810,64490,65360,65220,65040,62590,61670,67110,63930
Arkansas,53980,54760,57240,62120,57540,58660,57580,55080,51810,54340,48310,48970,48450,52270,50350,48330,52160,55720,51910,52840,51890,48660,50270,52390,47720
California,85300,87960,87530,88960,81480,82580,82260,79960,77030,73170,74580,70580,70800,67540,70840,74260,75120,76120,77490,74610,73010,74960,73630,74270,75230
Colorado,89930,91610,94440,82580,84420,88420,87460,84670,80610,73710,83310,77740,71090,74200,78600,73990,80290,83510,78020,72720,75480,75930,74960,77620,77520
Connecticut,90730,87300,89540,99420,84160,87620,85820,91100,88230,84870,85010,83150,79770,82790,86120,85790,85220,87610,87420,81930,81730,83570,82860,83830,80620
Delaware,80750,74070,78930,84510,75140,76600,73480,69650,69910,69580,66360,64060,60810,69180,72050,68940,66800,74560,73460,73860,71270,74530,77060,77950,80930
District of Columbia,101700,97740,99440,106100,99110,95840,98320,85170,84820,82590,73680,74440,81010,69930,74290,70300,73240,69360,67910,64860,64450,68490,60640,64690,66240
Florida,65370,64410,65110,66480,63160,62600,63300,61400,59100,55810,59540,58750,57210,57090,57500,60360,59100,62550,63990,61970,60120,59250,59020,57230,62440
Georgia,67730,66310,66810,64500,64520,68370,67230,64230,61450,59940,57650,58200,59750,58190,57570,57330,60910,66440,69120,66200,60790,64520,66650,66910,67330
Hawaii,91010,88630,91110,100200,92590,86780,86760,86550,78090,86150,78800,75340,69860,74730,77700,73620,81060,87440,84710,85890,83420,78810,73420,74550,82830
Idaho,72580,82940,75220,75160,67880,70160,70990,67870,62490,64640,59460,63510,59500,60070,61400,61880,62480,67180,64740,63680,65790,64420,58540,60090,60440
Illinois,78020,85460,83790,84740,81080,77790,76180,73650,73130,66430,66170,70170,64240,64090,66200,69940,70160,71710,68180,69770,68340,68650,66290,72550,74020
Indiana,70030,75690,75310,75960,69230,69290,69420,67310,62930,58130,60670,62020,57310,56250,60210,58610,61290,64810,63610,61170,62790,64500,63710,63450,65660
Iowa,76320,78100,77570,75240,79430,74840,74850,70900,73660,69930,73800,67300,66360,63560,63960,67100,66060,66800,67420,67030,64360,62920,63710,64390,65870
Kansas,73040,81930,82380,83320,73900,67090,68240,68160,66410,64650,58670,63160,62090,58410,60100,59150,63080,66240,63810,60580,60910,67250,66150,65080,65980
Kentucky,55880,59980,63980,63400,63060,58570,60550,54440,51310,51750,55060,51720,51020,50440,53640,56440,54210,53890,55310,52900,52820,56160,57060,60400,58270
Louisiana,58330,61690,57700,58890,57760,51370,51770,50630,55590,51290,56950,48610,48530,51460,51280,60100,52130,56430,51110,53680,54030,50940,52780,52360,49360
Maine,75160,76710,71800,75800,67810,62870,60920,61020,61440,62550,67420,61490,61040,62890,62550,62840,62220,65420,63940,63320,61300,56430,57200,57530,59880
Maryland,108200,105000,106900,108900,99660,96800,95610,88500,89090,92130,85080,80060,89200,87170,83780,84910,83940,89640,89190,87230,84700,79540,87550,84120,87630
Massachusetts,93550,93340,98980,99900,99800,89900,86350,86710,82150,76390,76710,77240,79040,80130,79520,78540,79470,79850,77510,80750,77160,77470,77380,82110,75130
Michigan,68990,69540,72590,73030,69870,66510,68040,68500,65610,62910,69400,59870,62100,61860,60390,60840,65600,67430,68150,66210,62680,68450,66300,70790,73130
Minnesota,90390,86740,88770,92740,83010,82510,84800,84250,83200,81340,78910,74720,76730,73180,68280,74200,72370,79300,78740,78150,83220,80310,84780,82780,87170
Mississippi,48610,50290,50880,51010,49450,51030,51220,49310,48460,42970,39670,50120,45500,52010,49800,46400,48020,50920,48660,47390,51550,49760,47930,47400,55110
Missouri,71520,68570,70090,69020,71350,66660,67080,66010,71660,68500,56800,61720,61790,57930,59790,64510,60660,62840,62450,61970,62500,66540,66390,64960,72470
Montana,72980,70090,63960,68560,66670,67690,69670,68480,62210,61810,53000,54140,55980,50980,53870,53490,56520,59630,57580,53790,50370,51860,54070,50480,52670
Nebraska,78360,84220,81440,83230,78110,70260,70300,71240,73200,68790,70690,65970,64810,70390,68510,65610,66840,67160,67440,69080,64950,66860,66420,68530,67090
Nevada,72330,69380,68950,80760,71510,68440,66680,66510,62960,60330,63600,55660,58770,59540,66810,68040,72130,73830,73240,69490,70020,68700,69780,71350,73530
New Hampshire,84970,95800,100200,98980,94020,89180,88200,91500,91600,88780,84770,87500,84210,83380,86950,84840,87190,92300,86810,82140,84270,84490,85860,80660,81830
New Jersey,92340,95490,96430,99920,85740,84000,86070,82150,82750,78920,78210,75790,82810,78900,82170,85690,86040,82640,95340,91350,81990,85210,84690,81350,80990
New Mexico,56420,57650,57380,60500,55810,53770,56430,58130,54620,56470,49280,51680,53920,53130,58900,57600,55470,60580,56070,56140,58680,53370,55030,52050,56390
New York,75910,78630,77400,81840,77760,72570,73630,73720,70210,65690,61300,66050,59200,64090,64960,66430,66480,66850,67550,68010,66230,65060,65140,66180,65470
North Carolina,65070,67820,68120,69660,61690,58420,59360,64510,61490,56590,56850,50550,51600,57210,57200,55440,56560,59430,55750,60620,59680,56680,56670,59970,61570
North Dakota,78720,74280,72270,79760,76870,70950,70610,72210,69500,73460,72570,64880,69240,71330,66560,66240,65390,64470,57500,60820,58170,61440,56190,56250,57840
Ohio,67520,67600,68060,73650,71240,71560,70480,64770,64520,60050,62260,56920,55100,56510,59880,60690,61840,67060,64300,63720,63860,66170,66250,65660,69030
Oklahoma,63440,64800,59150,67650,62920,61180,64860,61120,56990,57090,56630,53710,60110,61330,56250,60690,60750,59030,54410,54270,58760,54590,56590,55960,52110
Oregon,86780,88260,86630,84760,79950,73690,76180,70950,73640,71220,60110,69080,64290,65210,66030,64950,68150,68610,65970,63660,60810,63310,64880,64860,68290
